topic,stance,sentence
2,0,Repealing the death penalty next year would send a strong statement that Kansas is committed to a consistent life ethic
2,0,the death penalty has no dissuasive effect
2,0,states without the death penalty consistently have lower homicide rates than those with the death penalty
2,0,the cost of the death penalty and the multiple appeals and hearings that almost always follow
2,1,death penalty can be an effective deterrent mechanism
2,1,such penalty might be an efficient solution for reducing criminal activities
2,0,the studies of Oklahoma and California which resulted failing to find that the utilization of the death penalty is a true deterrent of violent crime
2,0,This increase in defense activity may diminish the deterrent effect of the higher penalties
2,0,murder rates in non-death penalty states are lower than murder rates in states with the death penalty
2,0,"The indigent accused may not be fortunate enough to be represented by an institutional public defender team with the experience, skills, and resources to provide high quality, zealous advocacy"
2,0,"Kentucky is currently spending money for a death penalty system which does not result in many executions at the same time it does not have sufficient resources for prosecutors, defenders, courts and corrections"
2,0,researchers found that race was still a significant predictor of who was sentenced to death
2,0,The federal death penalty can also be applied within any state whether or not it has the death penalty - a fact that critics of the federal death penalty believe oversteps the boundary of states' rights
2,0,"Since 1976, 140 people have been released from death row after having been proven innocent"
2,0,"It saves the prisons system the cost of maintaining a special death row, and the apparatus of executions"
2,0,a life sentence would save time and money as opposed to the death penalty
2,0,It is stated in the appeal that the Supreme Court itself has admitted to the wrongful administration of the death penalty in these 13 cases and that it would be a grave miscarriage of justice to not commute their sentence
2,1,the death penalty itself can be used to resolve any disputes
2,0,there is no correlation between officer safety and implementation of a death penalty statute
2,0,the society will be more civilized without death penalty
2,0,the murder rate in non-death penalty states has remained consistently lower than the rate in states with the death penalty
2,0,The death penalty's not a deterrent
2,0,"Money spent on the death penalty takes away resources from other state needs, especially the needs of the victims of crime"
2,0,the safety of society can be assured without using the death penalty
2,0,"When respondents are asked how they feel about the death penalty given an alternative of life without parole, support decreases significantly"
2,0,The only way that the death penalty could be made economically feasible would be to revamp the American system of jurisprudence and the philosophical system of justice upon which it is based
2,0,A death penalty trial costs three to four times more than a trial of life without parole
2,0,"With much higher costs and no discernable benefit of deterrence due to the death penalty, this form of punishment clearly fails a cost-benefit analysis"
2,0,some criminal lives can be restored
2,0,"Since 1973, 124 people have been released from death row because they were wrongfully convicted"
2,0,the death penalty was racially biased
2,0,nothing is done to help remove racial bias from the system
2,1,Executions themselves are not expensive
2,0,the pursuit of the death penalty that carries a high price tag
2,0,There are common sense reforms that would improve the system while still giving the accused their constitutionally guaranteed right to a fair trial
2,0,Some counties have been pushed to the brink of bankruptcy and have had to enact repeated tax increases to fund these extremely expensive cases
2,0,"Not only does death penalty violate human rights, but the methods of the death penalty also do really make offenders suffer mentally before death"
2,0,I do not believe that New Mexico's death penalty serves as an effective preventative measure because it is neither swift or sure
2,1,The death penalty gives closure to the victim's families and loved ones
2,0,"Some argue that in an imperfect world, innocent individuals may be convicted and executed, and this is too great a risk too take"
2,0,Death Penalty is not a Deterrent
2,1,it lowers crime rates
2,1,it deters criminals from killing
2,1,"If we fail to execute murderers, and doing so would in fact have deterred other murders, we have allowed the killing of a bunch of innocent victims"
2,0,"those on death row in other states who were exonerated highlight cases tainted by false eyewitness identifications, shoddy forensic work, bad lawyering and coerced confessions"
2,0,The cost associated with the deathpenalty is more expensive than housing someone in prison for life
2,0,this is the most severe form of corporal punishment as it is requires law enforcement officers to kill the offender
2,0,imposing death penalty for rape cases might be counterproductive because the process of evidence is difficult and the administrative costs for getting the right decision would be too huge
2,0,We need to stop wasting money on a broken death penalty and instead spend our limited resources on solving more homicides
2,0,states without the death penalty have a lower homicide rate
2,1,"If the death penalty was abolished, the convicted murderer has the potential to escape and kill again"
2,0,There are no empirical data verifying that the death penalty has a deterrent effect on heinous crimes
2,0,someone convicted of killing a white person in North Carolina is three times more likely to be sentenced to death than someone who kills a black person
2,0,it was unfair
2,0,there should have been more evidence presented in court to be able to give the death penalty
2,0,"It allows us to continue to blame one another, to turn against one another, to learn to hate better"
2,0,"appeals keep death row inmates alive and consuming state resources, and also force families to go through seemingly endless trials for their family members' killer"
2,1,particular crime isn't repeated by a particular person thus completely deterring the person from repeating the crime
2,1,embrace life more than death and fear death more than life
2,0,eliminating the death penalty in the future may prove to better public policy given the reality of the sentence today
2,1,states employ the death penalty as a deterrent for would-be killers
2,0,another man may have been saved by the use of DNA evidence
2,1,executing these people prevents them from harming anyone else
2,0,A million dollars spent pursuing the execution of one defendant could provide fare more effective long-term crime reduction: many additional police officers; speedier trials; or drug rehabilitation programs
2,0,the cost of defending a death penalty case is eight times higher than the cost of a similar case in which prosecutors chose not to seek the death penalty
2,1,the death penalty is a greater protector of innocents
2,1,"increased crime rates, high profile trials, and public concern about law and order"
2,0,homicide rate in states with the death penalty has been 48 to 101 percent higher than in states without the death penalty
2,0,"in the same time 13 people on death row have been released, most having been proven innocent by confessions or DNA testing"
2,0,"death row prisoners face blistering heat over 100 degrees, scalding hot water and solitary confinement, and they receive little rehabilitation or recreation"
2,0,it is used very rarely - and successful almost never
2,1,as a way of punishment for those who commit severe crimes
2,1,"the ""risk"" is saving innocent lives by the deterrence of execution vs the ""risk"" of not saving innocent lives and choosing not to execute"
2,1,death is feared more than life and life is preferred over death
2,1,the murder rate is still high even though it is on the decline
2,1,available as an option in particularly heinous murders
2,0,"the death penalty, as administered, was unconstitutional and violated Eighth Amendment protections against cruel and unusual punishment"
2,0,the cost of death penalty cases in New Mexico is six times higher than other murder cases
2,0,"The death penalty is simply not necessary to protect life, given that there are alternatives such as life in prison without parole available to keep society secure"
2,0,there's a potential of executing an innocent man
2,1,justice and punishment
2,0,execution is murder
2,0,the government cannot continue to insist anecdotally that the death penalty is effective
2,0,"resources used for the death penalty could be diverted to higher budgetary priorities, such as law enforcement and victims' services"
2,0,"The Quran makes laws against the death penalty for murder, though compassion and forgiveness are strongly supported"
2,0,vital crime fighting programs are being cut while the high-priced death penalty goes unchecked
2,0,expanded training and more equipment for police officers; hiring more police officers; community policing; more programs to control drug and alcohol abuse; and neighborhood watch programs as more efficient uses of taxpayers' dollars
2,0,Innocents are being Executed
2,1,"without this system, we will have no control over our justice system"
2,1,the Supreme Court ruled that the death penalty could be Constitutional
2,1,"those who are put to death can't kill again, and, on a lesser level, it might deter others"
2,0,The death penalty also has been employed much more often when the victim was white
2,0,"82 percent of the victims of death row inmates were white, while only 50 percent of all homicide victims were white"
2,0,"the enormous costs of the death penalty, the long delay in assigning lawyers for death penalty appeals, and the absence of any meaningful return for all the resources spent"
2,0,he fails to prove that there is a short-term deterrent effect when the death penalty exists
2,1,death penalty being deterrent to crime
2,0,Angry people are not able to control themselves despite the fear of a capital sentence
2,0,States without the death penalty continue to have significantly lower murder rates than those that retain capital punishment
2,1,"annual nationwide cost of building, maintaining, and operating prisons is about $60 billion"
2,0,It can make martyrs out of people who committed acts of terrorism (some of whom sought to die for their acts anyway) and make it easier recruit more people to their cause
2,1,the death penalty helps society feel better and be a better place
2,1,the death penalty lowers the crime rate in some states in which it exists and not others
2,0,"The death penalty was not reconcilable with human rights, put at risk the right to freedom from torture and other cruel, inhuman or degrading treatment and there was no evidence that it had a deterrent effect"
2,0,extra expense results because defendants in death penalty cases are entitled to things such as money for expert witnesses
2,0,"It is a bloated and expensive system that has bogged down law enforcement, delayed justice for victims' families, and squandered millions of crime-fighting dollars"
2,0,dictators have killed people using the death penalty in order to get rid of political opponents
2,1,it is proven in academic studies to deter crimes in our nation
2,1,The amount of space taken from prisoners who have a life sentence take up to much space
2,1,the deathpenalty would prevent that from happening
2,0,Threatening criminals with death is not a deterrent if you are largely unable to carry out with that threat with hardcore evidence
2,0,"the death penalty is fallible (a substantial number of innocent people have been convicted), and has historically been applied in a discriminatory manner"
2,0,"Many organizations of victims' family members, such as Murder Victims' Families for Human Rights, are saying that the death penalty offers them nothing"
2,0,"As money is spent on the death penalty, it is thereby less available for the very programs that are the backbone of the effort to reduce crime in this country"
2,0,DP trials are more expensive
2,0,states without the death penalty have lower homicide rates than states with the death penalty
2,0,"If the death penalty was so effective in stopping crime, wouldn't all fifty states use it"
2,0,it is very difficult for most states with death penalty systems to actually get what they are paying for
2,0,most death penalty systems actually result in very few executions
2,1,"the death penalty was administered in a ""fair"" and ""race neutral"" manner"
2,0,a growing number of Americans support a sentence of life without parole rather than the death penalty for those convicted of murder
2,0,The abolition of the death penalty is essential for the enhancement of human dignity and for the progressive development of human rights
2,0,the system may well be allowing some innocent defendants to be executed
2,1,"With respect of the costs of imposing death penalty, suffice to say that death penalty is cheaper than prison"
2,0,many criminologists agree that the death penalty is not a deterrent to capital crimes
2,0,the level IV security of death row inmate like criminals that will cost more
2,0,"It's biased, not an effective deterrent, and puts innocent people on death row"
2,0,the death penalty is certainly not a valid remedy against terrorism
2,0,studies have shown that the death penalty does not deter violent crime
2,1,"Once they are put to death, there is absolutely no recidivism to worry about"
2,0,it is too expensive to prosecute and that life without parole is a more efficient form of punishment
2,0,continued use of the death penalty by holding prisoners in conditions and for durations that constitute torture
2,0,imposing the death penalty in racially discriminatory ways
2,0,Life imprisonment without parole can be deterrent and can be more rehabilitative than the death penalty
2,0,More than two-thirds of world states have abolished the death penalty
2,1,the death penalty eliminates the possibility of a convicted murderer to receive the freedom to commit another crime
2,1,"We owe it to families of murder victims to have in place a system of justice that is swift and sure, and to provide them with meaningful services to help them heal and recover from the trauma of murder"
2,0,there are many different factors that play tribute to why the death penalty should be illegal
2,0,"veterans were on trial facing the death penalty, their military service and related illnesses were barely presented to the jury"
2,0,Court can't always know if murderer can or can't become better and feel sorry about his crime
2,0,"people, who could become better, may not have an opportunity to prove it"
2,1,the death penalty is a good deterant
2,0,it is possible to execute an innocent human being
2,0,the death penalty fails to keep us safe Many law enforcement officials say the death penalty wastes scarce crime prevention resources
2,0,do not believe that the death penalty is an effective law enforcement tool
2,0,wrong judgment reduces the probability of allocating the criminal sanctions to the intended target
2,0,Other aggravating problems with the death penalty system include limited access to courts for federal review of death penalty decisions made on the state level
2,1,if there are a few faults he agrees that the benefits will outweigh these miscarriages
2,0,the death penalty was not a deterrent
2,0,those executed were usually the poor and disadvantaged
2,0,innocent people had been sentenced to death
2,0,"The right to life is taken for granted without thinking twice, however, due to the laws of this country the freedom we take for granted can be taken away with the mistakes we made"
2,0,"Even those convicted of possessing small amounts of ""soft drugs"" for recreational use can suffer long jail sentences, heavy fines and deportation"
2,0,Locking murderers away for life achieves the same goal without requiring us to take yet another life
2,0,we impose costs to him by taking his life
2,1,the death penalty deters crime
2,1,the public is not ready for abolition
2,0,"a white defendant was almost twice as likely as a black, Hispanic, or ""other"" defendant to be offered a plea agreement reducing the penalty to life imprisonment or less"
2,0,the death penalty is more of a burden on taxpayers than if the same defendant receives a life sentence
2,0,"Families and friends of the defendants can get serious psychological traumas While waiting for the final verdict, families of defendants live in a constant stress that can cause serious neurologic diseases"
2,0,an abolition of the federal and military death penalties would greatly aid cooperation in anti-terrorism efforts
2,0,States Can Save Hundreds of Millions by Abolishing the Death Penalty
2,1,death penalty is used as a form of punishing those who have committed crimes against natural law
2,0,"Death penalty lawyers hardly have enough resources to work on the cases of live clients, much less for those who are no longer living"
2,0,costs much less money to keep people
2,0,there is widespread unfairness and even gross injustice in the way it is applied
2,0,Even states with the fewest protections and a faster process face exorbitant death penalty costs
2,0,Killing people makes us like the murderers who most of us so despise
2,1,an increase in penalties results in a greater effort on the part of criminals (and their attorneys) to avoid convictions
2,1,deterring the criminals
2,1,imposing the death penalty is a crime deterrent
2,1,individual deterrence could not exist without the general deterrent effect
2,0,innocent people have been executed
2,0,"4% of Oklahomans would support abolition of the death penalty if the state replaced its system of capital punishment with the alternative sanction of life without parole, plus a requirement that the inmates pay restitution to victims' families"
2,0,India can still reclaim its position as an upholder of human rights by abolishing the death penalty
2,0,"juries had full discretion in sentencing those convicted to death, leading to inconsistent application of the death penalty"
2,1,the thought was that death could be administered more quickly and cheaply to aggravated murderers than maintaining them in prison for life
2,0,Deathpenalty is an inappropriate form of punishment that infringes constitutional ban against cruel and unusual punishment and the guarantees of due process of law and of equal protection under the law
2,1,Absent the death penalty - for example - convicted murderers could murder while behind bars without further penalty
2,0,"'fraught with arbitrariness, discrimination, caprice, and mistake'"
2,0,those individuals freed from death row were saved because of new technology and the individuals who believed in them
2,0,"the way it is applied does not inflict the least mental and physical suffering possible, as the ICCPR requires"
2,1,Deathpenalty has been an inalienable part of human society and its legal system for centuries
2,1,regarded as a necessary deterrent to dangerous crimes and a way to liberate the community from dangerous criminals
2,0,the death penalty is an expensive public policy choice that poor states like New Mexico find difficult to maintain
2,1,everyone who deserves the death penalty gets it
2,0,the vast resources that are currently devoted to an uncertain and arbitrary death sentence system could be better utilized to stop homicides and other violent crimes before they occur
2,0,California's death penalty is a false promise to victims
2,1,its merits are worth the occasional execution of innocent people
2,1,most would also insist that there is little likelihood of the innocent being executed
2,0,there is only a 4.5% chance that a death penalty prosecution will ever end in an execution
2,1,death penalty is really the only alternative to those who have committed some of the worst crimes in our society
2,0,implementing the death penalty would cost the state about $118 million annually
2,1,the public apparently continues to embrace the morality of the death penalty
2,0,Many cases will be overturned on appeal
2,0,some inmates will commit suicide
2,0,"Executing someone who is innocent is irreversible, and a price too precious to pay"
2,1,The judicial system has minimized the chances of mistakes
2,1,the death penalty provides emotional compensation to the families of crime victims
2,0,death penalty cases are up to 10 times more expensive than comparable non-death penalty cases
2,0,DNA has uncovered many of the flaws in our nation's death penalty
2,1,Ending the death penalty in New Jersey sends a dangerous message of weakness to those who commit the most heinous murders and those who would commit indiscriminate mass murder
2,0,putting criminals to death might not be the best solution
2,0,It would not be a smart move to put somebody in an electric chair with so much money
2,0,The death penalty is expensive and does not work
2,0,our system of imposing the death penalty is inherently flawed' and that there is 'no credible evidence' that capital punishment deters crime
2,0,It makes no sense to pay an extra $125 million a year for a system that doesn't deter murder and is rarely carried out
2,0,Florida's death penalty statute vulnerable to additional costly litigation
2,0,it cost us police officers
2,1,it can help the world around us a lot
2,0,"we have sent 40 actual innocents to death row, which is 1 innocent sent to death row out of every 205 so sentenced"
2,0,"It does not give criminals one more chance to realize their mistake, improve, and become useful for society"
2,0,the death penalty failed to deliver justice
2,0,the resources put toward it could better serve Californians if it was put toward other areas of law enforcement
2,1,"The death penalty ""provides a sense of justice to the system, is a just punishment for murder and has a deterrent effect on crime"
2,0,it doesn't make us safer
2,1,it deters people from committing murder
2,1,the death penalty gives peace of mind to the victims and their families and puts an end to the crime
2,1,Another potential reason to keep the death penalty is cost
2,0,this practice had no positive impact on reducing criminality
2,0,"there is the death penalty in practice, which in reality sentences innocent people to die and is awash with racial bias and is extremely expensive and unfixable"
2,0,"There was enough death, pain and suffering in every section of the planet"
2,0,some states with the death penalty does not even have crime rates that decrease
2,1,the death penalty discourages murderers and kidnappers
2,0,federalism prevented the federal death penalty from being adopted
2,0,It is much more palatable to be against executions when the executed is innocent
2,0,non-lethal means are . more in keeping with the concrete conditions of the common good and are more in conformity to the dignity of the human person
2,0,I could put someone in the Waldorf Hotel for 60 to 70 years and feed them three meals a day cheaper than we can litigate a single death penalty case
2,0,"we have seen significant problems -- racial bias, uneven application of the death penalty"
2,0,"If, on the other hand, the death penalty is not in force, convicted persons later found to be innocent can be released and compensated for the time they wrongly served in prison"
2,0,every human being had the inherent right to life and none should be deprived of this right
2,0,"people understandably assume that it is cheaper to execute murderers than to keep them imprisoned for life, but that is a mistake"
2,1,It helps to serve as a deterrent
2,1,there is only one execution for every 1600 murders in the United States
2,1,the possibility of someone being put to death if they kill someone is extremely low
2,1,Another good reason why the death penalty should be used in our society is to protect our loved ones against horrible deaths by murder
2,0,"if there was complete abolishment of the death penalty, wrongfully convicted individuals have a chance to seek justice and clear their name"
2,0,"But what can't be debated is the cost savings from not pursuing the death penalty, which Weissmann estimated to be millions of dollars per year"
2,1,"the greater the publicity surrounding executions, the greater the deterrent effect will be"
2,0,the criminal justice system is skewed against African Americans and that prosecutors are less likely to seek the death penalty when victims are black
2,1,we calculated the cost savings by having the death penalty
2,1,"execution preserves human dignity, it does not defile it"
2,0,the dignity of human life must never be taken away
2,0,its use undermines human 43 dignity
2,0,there is no conclusive evidence that it has any value as a deterrent
2,0,any miscarriage of justice is irreversible and irreparable
2,1,"if the death penalty could be shown to save lives, by deterring violent crime, it might be worth it"
2,0,One of the biggest reasons why the death penalty should be removed from our justice system is the economic cost it has on our country
2,0,repealing the death penalty could have saved the state nearly $22 million in just those two years
2,0,it is extremely expensive to administer
2,0,criminal justice systems with the death penalty are always more costly than criminal justice systems without the death penalty
2,0,Innocent people are being executed and convicted
2,0,The wrong execution of innocent people creates lack of justice which can never be rectifiable
2,0,Building a jail can cost the government a huge chunk of money that may be used for community construction
2,0,The death penalty is a colossal waste of money that would be better spent putting more cops on the street
2,0,trying death penalty cases to fruition is much more expensive than having a convicted murder live out his or her natural life in prison
2,1,the death penalty is applied fairly
2,1,the death penalty is an enhanced deterrent over a life sentence and any deterrence is significant in that it spares innocent lives
2,0,The exorbitant costs of capital punishment are actually making America less safe because badly needed financial and legal resources are being diverted from effective crime fighting strategies
2,0,Others have been freed after re-examinations of their cases showed that they had been wrongly convicted
2,0,the death penalty cannot be exempt from reevaluation alongside other wasteful government programs that no longer make sense
2,0,the only way to fix the death penalty is by ending it
2,1,"It should be kept because it helps crime rates drop, helps give closure, serves justice, and more"
2,0,The death penalty is up to 70% more expensive to implement than comparable non-death penalty cases
2,1,"anyone who aids terrorists, financially or otherwise, are liable to face the death penalty"
2,0,The action opens the way for an end to a de facto national moratorium on lethal injection executions
2,0,If someone inhibits your ability to breathe the air into your lungs then they are taking away the one and only right that you have
2,0,The evidence as a whole still gives no support to the deterrent hypothesis
2,0,Enforcing the death penalty costs Florida $51 million a year above what it would cost to punish all first-degree murderers with life in prison without parole
2,0,"inmates often do work in the prison, which can offset some taxpayer money"
2,0,death row inmates almost never work
2,1,the criminals continue committing crimes as they do not have the fear of punishment as they know that they will not be killed
2,0,Jurisdictions with the death penalty have higher homicide rates than places without the death penalty
2,0,"the death penalty is a false promise that goes unfulfilled, leaving victims' families frustrated and angry after years of fighting the legal system"
2,1,"eye for eye, tooth for tooth"
2,1,death penalty is good alternative for lifetime imprisonment
2,1,it's quite normal punishment for murdering and it can save innocent people
2,0,it isn't right and can be unjust
2,0,he opposed the death penalty on moral and pragmatic grounds
2,1,"it deters crime, prevents recidivism, and is an appropriate punishment for serious crime"
2,1,"The death penalty could be abolished when murder has significantly lessened, but now is not the time"
2,0,"when presented with the choice of confessing or being sentenced to death, even an innocent person may rationally choose to ""confess"
2,0,its efficacy and legitimacy remains a constant irritant
2,1,Somecrimes are really so heinous that the penalty of death sends an appropriatemessage that those who commit them do not deserve to live in our world
2,0,Commuting all death sentences to life in prison would save hundreds of millions of dollars per year
2,0,increased value for life
2,0,increased awareness of the possibility of the system executing innocent people
2,0,increases awareness that the death penalty does not have a deterrent effect on the homicide rate
2,0,"the death penalty is a violation of human rights, specifically, the right to life"
2,1,executing criminals provides comfort to the victims of violent crimes and to their families and loved ones
2,1,its application is still not against customary international law
2,1,The death penalty both deters crime and incapacitates criminals who have already committed capital offenses
2,1,"80% of US citizens support the death penalty for true, capital, death penalty eligible murders"
2,1,"If there were no death penalty and they just put the murderer in jail, they can still escape or when they are let out, there is still a chance for them to repeat murder"
2,1,"If I were a criminal, I would definitely reconsider doing any type of crime if I knew that the death penalty was there and that my state would enforce the death penalty if I committed a major crime like murder"
2,0,the problem of a fatally flawed criminal justice system that sends innocent people to death row
2,1,"this system progresses to be more efficient, by eliminating unwanted criminals in our society, our neighborhoods have been safer"
2,1,"When one human being kills another in cold blood, they are performing an act that does not naturally occur in nature"
2,0,the pre-trial and trial level costs were the most expensive parts: 49% of the total costs
2,0,the death penalty is doing little to keep them safe
2,1,"Having the death penalty in our society deters potential violent offenders from committing crimes, saves the government money, and guarantees that offenders will not commit these crimes again"
2,0,an UNJUST Waste of Life
2,0,The only way to make our death penalty better is to get rid of it entirely
2,1,the death penalty is needed to protect law enforcement
2,0,"We hope that California voters, informed of what the death penalty actually costs them, will cast their informed votes in favor of a system that makes sense"
2,0,there is still a 1% chance that the person could be innocent
2,1,the death penalty is a deterrent to crime
2,0,"lawmakers had run out of patience with Connecticut's death penalty law, which prolonged the legal process and inflicted additional harm on murder victims' families"
2,0,"Many would think that just executing someone would be much more inexpensive then having them spend the rest of their life in prison because of costs of food and shelter, but this just is not true"
2,0,The high costs to the state per execution
2,0,"For a single death penalty trial, the state may pay $1 million more than for a non-death penalty trial"
2,0,By abolishing the death penalty it affirms our condemnation of cruelty and affirms the value of human life
2,0,"For those beyond rehabilitation, then life in prison without the possibility of parole is the solution"
2,1,Haag argues for the death penalty on the basis of it being a just punishment of the worst crime and a deterrent to others who might commit the same crime
2,0,death penalty cases become so expensive and so difficult
2,0,most of the free world has abolished the death penalty
2,0,The money saved could be spent on improving the criminal justice system such as increasing public safety or providing resources to help prevent wrongful convictions
2,0,human life is so valuable that nothing can compensate for it
2,0,the death penalty is a deterrent of any consequence in preventing murders
2,1,"If we execute and there is no deterrence, we have justly punished a murderer and have prevented that murderer from ever harming/murdering, again, thus saving more innocent lives"
2,0,over using the federal death penalty for non-homicide crimes such as large-scale drug trafficking
2,0,"With a progressive move towards more humane methods of punishment, it is only a matter of time before the death penalty is struck off completely"
2,0,Allowing the state to inflict death on certain of its citizens legitimizes the taking of life
2,1,it saves the money for other use
2,1,His plan seems to involve restricting the application of the death penalty to specific instances involving terrorism or the death of a police officer
2,1,"offender who commits such serious crimes, death penalty is the appropriate punishment"
2,0,"when respondents are given alternatives such as life without parole, support for the death penalty falls below 50"
2,0,If these people had been serving their life imprisonment sentences they would still be alive
2,1,officers felt safer in states with a death penalty
2,1,the death penalty should further be extended to criminals with multiple felony convictions
2,0,That view has become more mainstream in conservative circles because DNA technology has shown that some of the murderers facing death sentences in the United States actually are innocent
2,0,The endless appeals and legal investments for the fifteen to twenty years after the death penalty verdict and before the execution use resources best used elsewhere
2,0,in 1993 in Maryland that DNA was first used to overturn a death row sentence
2,0,"Jurors feel more confident that if there's any error, you can always unlock the prison cell"
2,0,death offers no second chance
2,0,These hundreds of millions of dollars are going to be needed to be spent on things that are more proactive
2,0,"All human life does have the right to be respected but there is a point when that right can be lost, if someone takes the life of another human being then they have given up that right"
2,0,"Life is a gift given by God, so only God can take it away"
2,0,in some states $30 million per execution is a very conservative estimate
2,0,The death penalty does not work in terms of preventing violent crime and the taking of human life
2,0,"Californiaspends $137 million per year on the death penalty and has not had an execution in almost four years, even as the state pays its employees in IOUs and releases inmates early to address overcrowding and budget shortfalls"
2,1,"the argument for death penalty deterrence and its enhanced deterrent effect overwhelms any claim that the death penalty deters none, for which no evidence exists"
2,0,the action of killing people by trial will continue on to later generations
2,0,"The imperfections of the criminal justice system, of which any practitioner is well aware, cause many of us to be unable to ethically support a punishment that should demand infallibility"
2,1,There is substantial factual evidence for anecdotal death penalty deterrence and as an enhanced deterrent
2,0,there has been a lack of justice for countless death row inmates with possibly meritorious claims
2,0,the Illinois death penalty system is arbitrary and capricious-therefore immoral
2,0,"Peoples' lives are ruined in this process, even if they are released"
2,0,they think killing somebody just isn't right
2,0,citizens of the United States may claim that they have the right to live and that they can live their life
2,0,Privately appealing a capital offence is expensive and hence the poor may not be able get justice
2,0,"once a person is sentenced to death, he has more appeals than Odysseus had trials in his ""odyssey"" back home after the Trojan War"
2,1,"they criminal dies a sweet death, which is undeniably sweet"
2,1,Justice requires that society impose on criminals losses equal to those they imposed on innocent persons
2,0,no one can assert that abolishing the death penalty makes murder cases increase
2,1,"society needed to be purged of incorrigible, dangerous and undesirable persons"
2,0,People facing the death penalty in China continue to face unfair trials
2,1,"juvenile defendants can be just as dangerous, heartless, and reckless as an 18 year old adult"
2,0,"Modern supporters of capital punishment no longer view the death penalty as a deterrent, but just as a punishment for the crime"
2,0,the death penalty is not necessary to achieve the benefit of protecting the public from murderers who may strike again
2,0,halting executions could save millions of dollars
2,0,It is time for our nation to abandon the illusion that we can protect life by taking life
2,0,the death penalty is particularly unfair along racial lines
2,0,no punishment will bring back loved ones
2,0,only 9.2% of surveyed experts indicated that they believed the death penalty results in a significant drop in murder cases
2,0,the cash-strapped state could immediately save $1 billion by eliminating the death penalty
2,0,to reduce to nil the possibility of executing an innocent man or one criminal but not heinously criminal
2,1,"it has been found that potential murderers have been deterred from committing murder, because of their fear of the death penalty"
2,0,The protection of the human life is also found in the basics of human rights in the international community
2,1,it is a vital factor to keeping our society under order
2,1,The state now also has the opportunity to be a leader
2,0,"the Death Penalty is morally, ethically and economically questionable"
2,0,innocent people were on death row awaiting execution
2,0,"in the past, many who should have been exonerated, must have been executed instead"
2,0,the infectious presence of racism in the death penalty
2,0,There is a major difference in the prices of murderers going to jail and murderers going into the death penalty
2,1,it serves as a deterrent
2,0,All human beings possess the power of repentance; the death penalty removes this possibility
2,1,"The alternative is to imprison killers, which then merely sets them free to continue their murderous ways within prison walls on both prisoners and innocents guards"
2,1,The only punishment that will most likely make criminals not wanting to murder is the death penalty
2,0,"A person is more likely to get the death penalty when the victim is white, than when the victim is black, building on an obvious value system that was put in place generations ago"
2,0,"the United States Supreme Court suspended the imposition of the death penalty, finding it unconstitutional because it was imposed disproportionately on minorities and the poor"
2,0,"if there is something that we're doing through our government that is expensive and does not work, than we should stop doing it"
2,0,the American death penalty system is seriously flawed
2,0,"the execution of innocents is a reality, and that this atrocity is actually shockingly common"
2,0,"""Wherever the death penalty is administered by the state, the dignity of all our citizens is diminished"
2,0,"a government's act to execute is a violation of human rights, especially if there remains a possibility that the individual is innocent"
2,0,they can portray executions as inherently immoral
2,0,many miscarriages of justice have been documented over the years in which people have been put to death for crimes they did not commit
2,1,"the oft quoted ""Texas cost study"" actually found the death penalty was cheaper than a life sentence"
2,0,"People who are able to pay for their own attorneys, as well as those who are able to afford bail, are more likely not to be sentenced to death"
2,0,opposition to the death penalty is not about coddling criminal or setting them free to commit more crimes
2,0,the use of the death penalty contributes to a cycle of violence that must be broken
2,1,DeathPenalty as a Deterrent Persuasion is what makes the world go round
2,0,"There are also considerably greater expenses for expert witnesses, including psychologists and, these days, DNA experts"
2,0,that harsh and definitive punishment was provided even for less serious crimes
2,1,"the death penalty costs far more in the beginning, the sentence, if carried out, costs less than life in prison if the criminal in question lives longer than 30 years"
2,0,experts rejected the notion that research had demonstrated any deterrent effect from the death penalty
2,0,innocent people might be put to death if these safeguards are not in place
2,0,"The officers do not believe the death penalty acts as a deterrent to murder, and they rate it as one of the most inefficient uses of taxpayer dollars in fighting crime"
2,0,we could reduce costs by limiting appeals
2,0,Florida estimated that it spends $51 million per year on the death penalty over what it would cost to punish all first degree murderers with life without parole
2,0,"numerous prisoners have been driven into mental illness, yet few safeguards exist to prevent them being executed"
2,0,"Privileged, moneyed white men, Carter says, almost always have the means to avoid a death penalty sentence, while poor minorities lack such opportunities"
2,0,It is not a more effective deterrent than prison and makes worst the evil it pretends to cure
2,0,death penalty brutalizes and makes society more violent
2,0,"In 1990, the murder rates in death penalty states and non-death penalty states were 4 per cent apart"
2,1,the deathpenalty system in action can be used as a deterrent to society who might want to commit a crime
2,0,"Allowing the government to enforce the deathpenalty gives them power to take human life, and creates a margin for social injustice"
4,1,"medical marijuana laws also promote employment and spin-off industries such as coffeehouses, tourism and industrial hemp"
4,1,The consumption of marijuana is no longer restricted to hippies at concerts and its sale is no longer limited to shady people in alleys
4,1,"this inconsistency between federal and state marijuana policy creates a ""legal environment that wastes law enforcement resources and misses out on potential tax revenues"
4,0,Statements that marijuana is safer than alcohol are not true
4,1,a bill has been approved by the Senate that would reduce penalties for possession of small amounts of marijuana
4,0,"It can lead to lung disease, heart disease and more importantly can influence the use of harder drugs such as cocaine"
4,1,"Who does not have compassion for the terminally ill elderly person slowly dying a painful death, whose pain could be greatly eased by marijuana"
